Guest,n_atoms,Rg,NPR1,NPR2,long_axis_extent,min_rot_width,max_rot_width,Family
AC,20.0,2.635931395176184,0.1336915676316957,0.8693204161992628,11.572324131042889,4.150565261921605,7.038409173172631,Pharmaceutical
AT,41.0,4.62068390463789,0.0656373027087861,0.9856443625931656,17.556910120425364,6.242561805593063,6.975555673261941,Pharmaceutical
BZA,45.0,3.5329128740415108,0.453852969852046,0.6751100014055516,13.359008981974478,6.80237825534436,9.899393089155538,Pharmaceutical
CAR,30.0,2.7986058176922746,0.4467038399833603,0.7842681068837077,11.559081641670144,6.294459126706781,8.584682083733682,Pharmaceutical
CBC,53.0,4.146651562449707,0.364527191485483,0.8559030559997056,14.883531017827746,8.901517464806878,10.928637690314291,Cannabinoid
CBCA,56.0,4.317916409447686,0.3733032061112378,0.8831772495903214,16.272438341341218,9.501422180770646,11.23566639037373,Cannabinoid
CBD,53.0,4.0393525590614505,0.217380958163852,0.9191369486160272,16.82205661219238,7.309516186124819,9.95084669634145,Cannabinoid
CBDA,56.0,3.979927931640565,0.2660130654886504,0.9057219761834144,16.678418615569175,7.244599443012948,10.090946921548433,Cannabinoid
CBDV,47.0,3.463501271496048,0.3036014797046011,0.8828658001890789,14.419953495694752,7.176816712976385,10.01744282003465,Cannabinoid
CBDVA,50.0,3.547620389573776,0.3516892500140547,0.8787046763321408,14.23416851372926,7.158215308789067,10.492092868779146,Cannabinoid
CBG,55.0,4.725070564077395,0.1949762935606915,0.8971405656357542,19.08604815350094,7.253538182547159,10.273036257114036,Cannabinoid
CBGA,58.0,4.739614721294655,0.2079657838159487,0.9157564457001774,19.25998092792777,8.054043480877901,10.186518707796992,Cannabinoid
CBL,53.0,3.8670687887802857,0.2503455639291038,0.9137047714320145,15.444631458383496,7.082567112207507,9.733521579972162,Cannabinoid
CBLA,56.0,3.97181598027456,0.2939760028897712,0.7718566163627449,15.900585447168144,6.620732174140642,11.096130702666764,Cannabinoid
CBN,46.0,3.993731184909168,0.1933189727611505,0.9069215153995224,16.71554613601672,6.525132698971451,9.510353573564805,Cannabinoid
CBNA,52.0,4.085748020100612,0.2576766941741875,0.8780733994130274,16.66058918139814,7.483734224587026,10.502341578352535,Cannabinoid
CLF,25.0,3.189149159955274,0.1220520232145073,0.9842406311846156,12.906739735099269,6.176684024089556,6.81691668392013,Pharmaceutical
CPFX,42.0,3.830145709851658,0.2232862268765879,0.8142503679503243,14.969971619779594,5.684120667999721,10.133832213355856,Pharmaceutical
DIC,30.0,3.049730629993657,0.5203226418000474,0.9748579312062708,11.55538651755965,7.180434159528327,9.21400619708248,Pharmaceutical
E1,42.0,3.457385642067,0.1706189460143641,0.8863463547898438,13.767623428204454,6.343029444774629,8.091971546458577,Pharmaceutical
E2,44.0,3.480947609731799,0.1678620029511164,0.8895519693192261,14.52664746477715,6.252997007034196,8.076587152355838,Pharmaceutical
EE2,46.0,3.658768507550066,0.1657590082811482,0.9130573359586964,15.31950616748264,6.569129340602888,7.966793751184331,Pharmaceutical
GFB,40.0,3.529327851626924,0.2559502001329451,0.9201166226999667,12.80133388274583,6.99410275152745,9.277523345444337,Pharmaceutical
IBU,33.0,3.2153989245952426,0.1879048057180272,0.9530628560387628,12.674472873906051,6.340248521540723,7.605181482599132,Pharmaceutical
KETO,33.0,3.685854591106469,0.1373978642696908,0.9515530815430764,14.30376543693269,6.672722918784481,7.939321579064138,Pharmaceutical
NAP,31.0,3.465084967542101,0.1222549177095833,0.9763498710690404,14.484618698757036,6.1231888176259845,7.770356796727197,Pharmaceutical
OXP,15.0,2.1717232992410067,0.3703159220195798,0.6316262689833194,9.190223125994416,3.444330581891436,7.684790750564719,Pharmaceutical
SMZ,33.0,3.189976989188801,0.3515361866063328,0.8113756872446783,13.532028079406548,6.715194249343639,9.569158153561306,Pharmaceutical
SSD,27.0,2.975129509838817,0.3477960088507543,0.7989900650531866,12.55120893187859,6.061915905842119,8.701180099758988,Pharmaceutical
SXT,28.0,3.0902234364393752,0.3439066500991443,0.8265976587774015,12.2370594015141,6.565441668925232,9.083832231416576,Pharmaceutical
TCS,24.0,3.725360543416584,0.1957605867547645,0.8738036979147645,13.993130797756148,5.920732162201126,8.528739484072815,Pharmaceutical
THCA,56.0,4.086385572738101,0.2837296003733675,0.8802920354653112,16.42392802474131,7.550460443049836,10.535706745966174,Cannabinoid
THCV,47.0,3.5007968411363133,0.3105368745824647,0.819723253934265,14.347691773513588,6.641825260261568,10.408651406616135,Cannabinoid
THCVA,50.0,3.627648747981101,0.3154617170579242,0.7558162701160928,14.19037266666727,6.4605965596935295,10.689274120384662,Cannabinoid
TMP,39.0,3.5809192165208885,0.2594305234524908,0.8611411506724147,14.153410519178149,7.253443525289054,10.513768138872134,Pharmaceutical
d8-THC,53.0,4.0812778654332,0.2305057520544007,0.897932571901643,16.586176498911602,6.786034032665652,10.452773285338886,Cannabinoid
d9-THC,53.0,4.07407380867259,0.2377804125192819,0.9039832480045336,16.463642667352318,7.11041149311783,10.45880081742758,Cannabinoid
