Name,Abbreviation,CID,Guest_Type,CID_resolved,IUPAC_Name_resolved,Common_Name_resolved,SMILES_resolved,Formula_resolved,InChIKey_resolved,MolWt,NumRotatableBonds,NumHDonors,NumHAcceptors,NumAromaticRings
Diclofenac,DIC,3033,Pharmaceutical,3033,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C14H11Cl2NO2,DCOPUUMXTXDBNB-UHFFFAOYSA-N,296.153,4,2,2,2
Ibuprofen,IBU,3672,Pharmaceutical,3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,"IBUPROFEN, (+-)-",CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2,HEFNNWSXXWATRW-UHFFFAOYSA-N,206.28499999999997,4,1,1,1
Carbamazepine,CAR,2554,Pharmaceutical,2554,benzo[b][1]benzazepine-11-carboxamide,carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,C15H12N2O,FFGPTBGBLSHEPO-UHFFFAOYSA-N,236.27399999999997,0,1,1,2
Sulfamethoxazole,SXT,5329,Pharmaceutical,5329,"4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide",sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,C10H11N3O3S,JLKIGFTWXXRPMT-UHFFFAOYSA-N,253.28300000000002,3,2,5,2
Naproxen,NAP,156391,Pharmaceutical,156391,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,NAPROXEN,COc1ccc2cc(C(C)C(=O)O)ccc2c1,C14H14O3,CMWTZPSULFXXJA-VIFPVBQESA-N,230.26299999999998,3,1,2,2
Trimethoprim,TMP,5578,Pharmaceutical,5578,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,C14H18N4O3,IEDVJHCEMCRBQM-UHFFFAOYSA-N,290.32300000000004,5,2,7,2
Acetaminophen,AC,1983,Pharmaceutical,1983,N-(4-hydroxyphenyl)acetamide,acetaminophen,CC(=O)Nc1ccc(O)cc1,C8H9NO2,RZVAJINKPMORJF-UHFFFAOYSA-N,151.165,1,2,2,1
Gemfibrozil,GFB,3463,Pharmaceutical,3463,"5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid",gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,C15H22O3,HEMJJKBWTPKOJG-UHFFFAOYSA-N,250.33799999999994,6,1,2,1
Sulfamethazine,SMZ,5327,Pharmaceutical,5327,"4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide",sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,C12H14N4O2S,ASWVTGNCAZCNNR-UHFFFAOYSA-N,278.33700000000005,3,2,5,2
Bezafibrate,BZA,39042,Pharmaceutical,39042,2-[4-[2-[(4-chlorobenzoyl)amino]ethyl]phenoxy]-2-methylpropanoic acid,bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,C19H20ClNO4,IIBYAHWJQTYFKB-UHFFFAOYSA-N,361.82500000000005,7,2,3,2
