Name,Abbreviation,CID,Guest_Type,CID_resolved,IUPAC_Name_resolved,Common_Name_resolved,SMILES_resolved,Formula_resolved,InChIKey_resolved,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Diclofenac,DIC,3033,Pharmaceutical,3033,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C14H11Cl2NO2,DCOPUUMXTXDBNB-UHFFFAOYSA-N,10.827338400380729,10.827338400380729,0.06424107142857127,-0.8893467078189301,0.8807285394160607,10.210526315789474,296.153,285.06499999999994,295.01668395200005,98,0,0.30739587692442316,-0.4809852135804913,0.4809852135804913,0.30739587692442316,1.0526315789473684,1.6842105263157894,2.3157894736842106,35.49683559976259,10.100301513191704,2.0971844788845875,-2.129783874772342,2.3308213108222446,-2.035556821577032,6.388086929697563,-0.13571846254865322,2.3509148477009196,2.3558879442321032,593.8950014443016,13.828062645816685,9.859949497496205,11.371807389533116,9.075387400469408,5.584169402223603,6.3400983482420585,3.94932097813249,4.763721231613703,2.581472082516677,3.2114128708653897,1.7112313592468353,2.203167158964943,-1.7099999999999995,18978.935565489523,13.715440199973633,5.9544053534163845,3.397616957868233,120.33053204396538,10.423315998847038,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,47.46734805431147,23.762552697081826,5.687386274683562,22.153474525092225,9.901064578912528,40.545957617784005,0.0,0.0,0.0,6.4208216229260096,5.316788604006331,58.073287598410914,0.0,0.0,5.316788604006331,11.374772549367124,0.0,23.20187978046503,11.075832682792555,11.21535880699783,0.0,5.563451491696996,42.46456947923127,10.045266627482652,0.0,0.0,49.33,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,26.983490668546775,0.0,0.0,36.39820241076966,6.06636706846161,5.316788604006331,28.30840717530574,0.0,12.148457175051089,10.827338400380729,12.941774656364606,1.9255171327790384,-0.8893467078189301,12.332722636894264,-0.06424107142857127,0.0,0.0,0.07142857142857142,19,2,3,0,0,0,0,2,0,2,0,0,2,2,5,0,4,0,0,0,0,0,4.298278450062384,2,4.364100000000001,77.52650000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibuprofen,IBU,3672,Pharmaceutical,3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,"IBUPROFEN, (+-)-",CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2,HEFNNWSXXWATRW-UHFFFAOYSA-N,10.762425070336777,10.762425070336777,0.4184259259259262,-0.7716577958343829,0.8215995486924976,12.8,206.28499999999997,188.14099999999996,206.130679816,82,0,0.3101853515323108,-0.4807885019257389,0.4807885019257389,0.3101853515323108,1.2,1.7333333333333334,2.1333333333333333,16.366404797134518,9.968471760898748,2.123540108955395,-2.0857579653870726,2.1688935075416422,-2.0688004654239487,5.749768182058125,-0.1378620686519089,2.165506939440076,2.7590371332701524,324.8941190021566,11.422285251880869,9.526670282288125,9.526670282288125,7.002907755397974,5.32030090584347,5.32030090584347,4.3994781236223774,4.3994781236223774,2.4940956097181957,2.4940956097181957,1.556376775771452,1.556376775771452,-1.31,1862.3359679184655,11.763046018991963,4.964460295417243,3.387630631562938,90.94175377251301,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,38.112942673227685,30.38936785217202,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,33.10993926815928,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,11.21535880699783,5.917906046161393,37.81602062862726,24.26546827384644,0.0,0.0,0.0,37.3,11.887211334113243,4.794537184071822,0.0,0.0,5.917906046161393,11.984273114623004,5.563451491696996,6.923737199690624,24.26546827384644,13.847474399381248,5.106527394840706,0.0,0.0,10.762425070336777,8.850157339170236,2.1401341647770225,-0.5579103678508441,7.871574074074074,1.0433852985638699,6.056901087595532,0.0,0.46153846153846156,15,1,2,0,0,0,0,1,0,1,1,0,1,1,2,0,4,0,0,0,0,1,3.8931449942967644,1,3.073200000000001,61.03480000000004,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbamazepine,CAR,2554,Pharmaceutical,2554,benzo[b][1]benzazepine-11-carboxamide,carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,C15H12N2O,FFGPTBGBLSHEPO-UHFFFAOYSA-N,11.75297052154195,11.75297052154195,0.47351851851851845,-0.47351851851851845,0.748363450121821,12.555555555555555,236.27399999999997,224.17799999999997,236.094963004,88,0,0.32342219617413165,-0.3508838374482669,0.3508838374482669,0.32342219617413165,0.8333333333333334,1.2777777777777777,1.7222222222222223,16.16253966335365,10.135516398413007,2.205637273293314,-2.220468335143455,2.3510276735172573,-2.315903981686083,6.042905677902133,0.25577663691790714,2.548225653496903,2.305250789577584,596.9467906495956,12.535169427003233,9.706314847049708,9.706314847049708,8.770856947829097,5.729003813978894,5.729003813978894,4.12461264814825,4.12461264814825,3.018151561343787,3.018151561343787,2.210962542757416,2.210962542757416,-2.55,20630.434890710927,10.59432558024975,4.035866968245452,1.569155277820115,105.14913595029721,5.733667477162185,0.0,0.0,0.0,0.0,6.031114512338072,4.899909730850478,4.794537184071822,0.0,0.0,48.55024262443742,23.259637120317212,0.0,11.374772549367124,4.794537184071822,29.557927275372958,0.0,0.0,5.733667477162185,0.0,4.899909730850478,59.65783953108687,0.0,0.0,10.633577208012664,16.169309733438947,0.0,0.0,6.031114512338072,0.0,0.0,11.126902983393991,48.53093654769288,0.0,12.152040213667762,0.0,46.33,6.031114512338072,4.794537184071822,0.0,0.0,0.0,22.501675532761116,0.0,4.899909730850478,60.68297676136064,0.0,5.733667477162185,0.0,0.0,13.299266817838246,0.0,9.106447467876041,0.0,14.933359788359788,3.994259259259259,0.0,0.0,0.0,18,2,3,0,1,1,2,2,0,2,0,0,1,1,3,1,0,0,0,0,0,0,2.3754049255648777,3,3.3872000000000018,73.53440000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sulfamethoxazole,SXT,5329,Pharmaceutical,5329,"4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide",sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,C10H11N3O3S,JLKIGFTWXXRPMT-UHFFFAOYSA-N,11.888543083900228,11.888543083900228,0.11791950113378724,-3.6448148148148136,0.804736706639606,11.352941176470589,253.28300000000002,242.19499999999996,253.052112212,90,0,0.26263766546728673,-0.3987277171275083,0.3987277171275083,0.26263766546728673,1.2941176470588236,1.9411764705882353,2.4705882352941178,32.233271005160034,10.319156978539295,2.151313424430653,-2.040786898072918,2.1624639396955896,-2.1257039155277826,7.923178645148272,0.40001198891575396,2.6349060156658664,2.2767262836744524,616.5006093542686,12.466255326250886,9.044308372493166,9.860804953420892,7.971163677742107,4.78927936144452,6.2724426090389125,3.4973370282410308,5.17973926965055,2.0572994801266193,3.427934409355713,1.2580754230988542,2.241837422891193,-2.0199999999999996,7651.767069493676,11.464961646363335,4.095983503072133,2.5628629762604866,98.46930176378613,10.256762414135533,5.760247418874442,5.817862777835028,0.0,10.023291153407584,0.0,4.722094864452088,8.417796984328938,0.0,0.0,5.156663257125445,31.18920547353706,11.753753343145172,4.895483475517775,12.940891921302285,21.528540205926173,0.0,5.156663257125445,0.0,11.819220675208399,10.455762341614273,36.09208276118249,0.0,0.0,10.455762341614273,11.50524905251859,0.0,0.0,13.574460241454382,10.023291153407584,6.923737199690624,5.760247418874442,39.750413754799176,0.0,0.0,0.0,98.22,10.023291153407584,8.417796984328938,0.0,10.713346253352803,11.447633693558004,0.0,30.33183534230805,6.923737199690624,0.0,9.878758121577533,10.256762414135533,30.846883083480307,0.0,0.11791950113378724,3.5540493512219706,5.984419557181101,0.679936224489796,7.370322341899723,0.0,1.6746180887414654,-3.6448148148148136,0.1,17,3,6,0,0,0,0,1,1,2,0,0,5,2,7,1,3,0,0,0,0,0,2.7623702215799377,2,1.3660199999999998,62.90290000000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Naproxen,NAP,156391,Pharmaceutical,156391,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,NAPROXEN,COc1ccc2cc(C(C)C(=O)O)ccc2c1,C14H14O3,CMWTZPSULFXXJA-VIFPVBQESA-N,10.916244733634706,10.916244733634706,0.4847206737633327,-0.8075354833291339,0.8810778082204156,12.352941176470589,230.26299999999998,216.15099999999995,230.094294308,88,0,0.31018572532324495,-0.4967451042461023,0.4967451042461023,0.31018572532324495,1.1764705882352942,1.8235294117647058,2.4705882352941178,16.465340300415637,9.977604551810945,2.130996381682746,-2.083501332160616,2.2461214674307945,-2.0648098744292005,5.859995115372149,-0.13785840793483115,2.35984572389062,2.4789644386388336,560.3959195741091,12.41384908344359,9.805162060755068,9.805162060755068,8.113392202930193,5.420871660482128,5.420871660482128,4.032443980554451,4.032443980554451,2.9418911948008084,2.9418911948008084,1.7811860183471508,1.7811860183471508,-2.03,7938.521015168045,11.455255502156714,4.454042614687935,2.228492726961196,99.64213719056528,9.843390348640755,5.749511833283905,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,24.26546827384644,35.392371257240434,0.0,13.027703587438927,14.637927532712576,16.74175371688144,0.0,0.0,0.0,12.841643245852017,7.109797541277533,41.96165390246666,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,18.18563022407009,4.794537184071822,0.0,18.405094737549014,36.39820241076966,0.0,10.772448428929591,0.0,46.53,11.887211334113243,4.794537184071822,0.0,0.0,0.0,22.085411753910492,0.0,14.033534740968157,36.39820241076966,0.0,9.843390348640755,5.144088062694213,0.0,10.916244733634706,11.041057872235722,0.8149692932728649,-0.4899107405307801,11.425672713529856,0.0,1.687523148148148,1.627021583681937,0.21428571428571427,17,1,3,0,0,0,0,2,0,2,1,0,2,1,3,0,3,0,0,0,0,1,3.0013056569849668,2,3.036500000000001,66.55080000000004,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trimethoprim,TMP,5578,Pharmaceutical,5578,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,C14H18N4O3,IEDVJHCEMCRBQM-UHFFFAOYSA-N,5.848108465608465,5.848108465608465,0.1538352101375191,0.1538352101375191,0.8533555071280714,10.238095238095237,290.32300000000004,272.179,290.137890436,112,0,0.2214316356382399,-0.492704456320783,0.492704456320783,0.2214316356382399,1.0,1.619047619047619,2.0952380952380953,16.529933471959104,10.055552244613873,2.139939308910227,-2.140671554383424,2.3834285564495885,-2.0427878074976973,5.550690334116586,0.32363418389382215,2.4853784144068674,2.397562137428135,621.1065134129683,15.405412915006313,12.213030189526183,12.213030189526183,10.083248657969117,6.243969313434722,6.243969313434722,4.349044905413231,4.349044905413231,3.0357491073552594,3.0357491073552594,2.0278360837453957,2.0278360837453957,-2.7000000000000006,52230.22737876032,14.703769228704127,6.167313394785921,3.07337613550987,122.4079788275865,25.67792381572452,5.817862777835028,11.49902366656781,11.6978511142704,0.0,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,17.696185628620217,18.18111668623608,21.3293926238326,14.210588861400147,11.766202058821523,0.0,9.967957041894417,0.0,6.4208216229260096,32.79672757815697,29.456480691930288,0.0,17.248535499851716,25.67792381572452,11.766202058821523,17.248535499851716,0.0,31.297349665727015,6.4208216229260096,0.0,11.126902983393991,18.3295777085363,0.0,0.0,0.0,105.50999999999999,0.0,0.0,0.0,5.948339280986494,29.487219900612754,11.126902983393991,0.0,27.526236195445676,12.13273413692322,9.967957041894417,25.67792381572452,15.924874707790472,0.0,7.900371315192743,0.0,13.050571864369664,2.228001325657802,3.7165684051398338,2.1425385015117158,0.0,4.703740547004436,0.2857142857142857,21,4,7,0,0,0,0,1,1,2,0,0,7,2,7,1,5,0,0,0,0,0,4.318226329429906,2,1.2575999999999996,79.76080000000002,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetaminophen,AC,1983,Pharmaceutical,1983,N-(4-hydroxyphenyl)acetamide,acetaminophen,CC(=O)Nc1ccc(O)cc1,C8H9NO2,RZVAJINKPMORJF-UHFFFAOYSA-N,10.524468537414966,10.524468537414966,0.11510204081632636,-0.11510204081632636,0.5950261967780849,9.181818181818182,151.165,142.093,151.063328528,58,0,0.22074743631242583,-0.5079643157925783,0.5079643157925783,0.22074743631242583,1.3636363636363635,1.9090909090909092,2.3636363636363638,16.254688714379654,10.280190859964755,1.9280360590359853,-1.9945540738765883,2.125247579160178,-2.0440113126102912,5.880954784597921,-0.11373578338266069,1.9291266251851134,2.7362980721056545,253.29949758389105,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,-1.51,285.51074052739676,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.423315998847038,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,12.611123474374185,0.0,9.901064578912528,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,24.26546827384644,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,4.794537184071822,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,49.33,0.0,4.794537184071822,0.0,11.65669156263541,5.687386274683562,0.0,19.056471336613843,12.13273413692322,0.0,5.316788604006331,5.106527394840706,0.0,0.0,10.524468537414966,11.460032596371882,0.6900925925925929,0.07851095993953172,6.309537037037037,0.0,1.437358276643991,0.0,0.125,11,2,3,0,0,0,1,1,0,1,0,0,2,2,3,0,1,0,0,0,0,0,2.1081569077654403,1,1.3505999999999998,42.41050000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemfibrozil,GFB,3463,Pharmaceutical,3463,"5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid",gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,C15H22O3,HEMJJKBWTPKOJG-UHFFFAOYSA-N,10.943172993766428,10.943172993766428,0.5565509259259258,-0.755336934156378,0.7849558299886598,11.333333333333334,250.33799999999994,228.16199999999995,250.156894564,100,0,0.3085639988790408,-0.4933115604495353,0.4933115604495353,0.3085639988790408,1.3333333333333333,2.0,2.611111111111111,16.477326232427487,9.8817547980358,2.256622060819081,-2.185496305069096,2.2347179568053597,-2.2365452756405633,5.729529138066419,-0.14689527554703694,2.2836345978856696,2.4287441586455745,421.746932506919,13.759148545064338,11.617081327556205,11.617081327556205,8.326204387599239,6.262117485114515,6.262117485114515,5.41000245250466,5.41000245250466,3.126283952915713,3.126283952915713,1.6659795077777104,1.6659795077777104,-1.5099999999999998,6869.172870440094,14.550642813826565,5.894163180223427,4.058379110355049,108.7851832308131,9.843390348640755,5.749511833283905,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,12.13273413692322,57.729862096470114,0.0,12.021872433909698,14.637927532712576,5.969305287951849,0.0,0.0,5.41499046939678,40.53659204461451,6.606881964512918,29.32600418877882,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,17.682714647305474,4.794537184071822,19.26246486877803,37.81602062862726,18.19910120538483,0.0,0.0,0.0,46.53,11.384295757348628,4.794537184071822,0.0,0.0,13.027703587438928,17.733784947906912,5.563451491696996,13.847474399381248,25.980208536304467,6.06636706846161,9.843390348640755,5.699819538926681,0.0,10.943172993766428,8.997308435745484,1.601784795708407,0.13645114218526977,6.096485226392107,1.3609906462585033,8.080653887683786,0.0,0.5333333333333333,18,1,3,0,0,0,0,1,0,1,0,0,2,1,3,0,6,0,0,0,0,0,4.764659062324396,1,3.573240000000002,72.06180000000005,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfamethazine,SMZ,5327,Pharmaceutical,5327,"4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide",sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,C12H14N4O2S,ASWVTGNCAZCNNR-UHFFFAOYSA-N,12.103550642479213,12.103550642479213,0.064189814814815,-3.6941666666666655,0.8285267006028038,11.263157894736842,278.33700000000005,264.22499999999997,278.08374668799996,100,0,0.26372364518031377,-0.3987277171274398,0.3987277171274398,0.26372364518031377,1.0526315789473684,1.5789473684210527,2.1052631578947367,32.2332712038801,10.31915504623712,2.1518565144207806,-2.0760068694502993,2.148899710749438,-2.152989421658106,7.9230761512846,0.6005316204203356,2.2671049329375124,2.330509006052534,675.9193645265303,14.043605595440512,10.583273677529261,11.399770258456988,8.865010527859459,5.57340142362747,7.056564671221862,4.148848371272201,5.831250612681719,2.398336602797666,3.7424074947465296,1.5976707738693907,2.541555037600322,-2.15,14228.350559115828,13.285625230484353,4.8483458693548895,3.194614632941851,111.30820628928309,5.733667477162185,0.0,0.0,5.948339280986494,10.023291153407584,0.0,0.0,23.10784889067544,0.0,0.0,0.0,44.179309741689295,17.075242264380485,4.895483475517775,8.417796984328938,21.65901670907764,0.0,9.967957041894417,0.0,18.742957874899023,10.455762341614273,41.71969133200497,0.0,0.0,10.455762341614273,11.635725555670057,0.0,0.0,18.385754026223353,10.023291153407584,13.847474399381248,11.387855989696922,35.227318817825825,0.0,0.0,0.0,97.97,10.023291153407584,8.417796984328938,0.0,10.84382275650427,17.075242264380485,0.0,24.26546827384644,19.913841467842857,0.0,14.690051906346504,5.733667477162185,26.55195200302343,0.0,8.187597946586044,0.0,7.417336997318058,0.064189814814815,7.676075949663612,0.0,3.5470139552607085,-3.6941666666666655,0.16666666666666666,19,3,6,0,0,0,0,1,1,2,0,0,5,2,7,1,3,0,0,0,0,0,3.390174010948206,2,1.47644,73.16890000000002,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bezafibrate,BZA,39042,Pharmaceutical,39042,2-[4-[2-[(4-chlorobenzoyl)amino]ethyl]phenoxy]-2-methylpropanoic acid,bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,C19H20ClNO4,IIBYAHWJQTYFKB-UHFFFAOYSA-N,11.991023694776054,11.991023694776054,0.1529371005110538,-1.283659253314442,0.7902868665254312,11.0,361.82500000000005,341.6650000000001,361.10808579999997,132,0,0.34695272602597066,-0.4783043138373701,0.4783043138373701,0.34695272602597066,1.08,1.68,2.24,35.49569161784112,10.104969175320582,2.287170973076381,-2.210839957844458,2.1908343215798007,-2.373576013721525,6.3020365030972005,-0.15170071943447697,2.5629321954808972,1.8419609698915256,739.0243388895045,18.44938298937633,14.082938655790878,14.838867601809334,11.77569413038242,7.828926806460704,8.20689127946993,6.074269416323031,6.5107051967950165,3.6170419717047273,3.8690182870442125,2.086138697558333,2.212126855228076,-2.5299999999999994,287089.4128089882,18.80359904829144,8.030753673607165,5.499454014008261,151.12704371861741,15.160178952647087,5.749511833283905,5.601050810983688,0.0,5.907179729351506,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,23.733674027155736,62.229949924773905,17.130841211350898,0.0,19.4324647167844,23.47742490753587,0.0,5.316788604006331,0.0,25.869346833290944,6.544756405912575,64.6804728448282,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,11.600939890232516,29.128819629040326,11.21535880699783,0.0,29.76891456684706,48.53093654769288,5.022633313741326,0.0,0.0,75.63,11.570356098935537,9.589074368143644,0.0,5.907179729351506,29.30117466756081,5.563451491696996,13.847474399381248,36.39820241076966,12.13273413692322,5.316788604006331,21.44433023887327,5.448357931476133,5.796350904958853,23.051613986126718,12.493511833713757,0.28665299453963944,-0.6919757812918799,13.842379837774859,0.6546955922286612,3.4795238115843725,0.0,0.2631578947368421,25,2,5,0,0,0,1,2,0,2,0,0,3,2,6,0,7,0,0,0,0,0,6.040282885364106,2,3.5545000000000018,96.27400000000004,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
