topo,guest,T,n_frames,diff,family
csq,17-alpha-ethinylestradiol,300,1200,0.387687919362726,Pharmaceutical
csq,17-alpha-ethinylestradiol,600,400,-1.7010653027570513,Pharmaceutical
csq,17-alpha-ethinylestradiol,900,400,-1.652025435309621,Pharmaceutical
csq,17-alpha-ethinylestradiol,1200,400,0.4415156843123213,Pharmaceutical
csq,17-alpha-ethinylestradiol,1500,400,-2.9488616684312774,Pharmaceutical
csq,17-beta-estradiol,300,1200,2.5504558868670024,Pharmaceutical
csq,17-beta-estradiol,1200,400,-0.8937429555121987,Pharmaceutical
csq,17-beta-estradiol,1500,400,1.0288771264561554,Pharmaceutical
csq,acetaminophen,300,1200,0.5953119876093282,Pharmaceutical
csq,acetaminophen,600,400,2.423422863645328,Pharmaceutical
csq,acetaminophen,900,400,2.4485044183533624,Pharmaceutical
csq,acetaminophen,1500,400,1.6956687210564103,Pharmaceutical
csq,atenolol,300,1200,-0.2232553298071877,Pharmaceutical
csq,atenolol,600,400,0.8464914902030145,Pharmaceutical
csq,atenolol,900,400,1.9339905539968816,Pharmaceutical
csq,atenolol,1200,400,-1.2524524861481936,Pharmaceutical
csq,atenolol,1500,400,-2.358952537693913,Pharmaceutical
csq,benzafibrate,300,1200,0.0798631341408793,Pharmaceutical
csq,benzafibrate,600,400,0.1372363277957546,Pharmaceutical
csq,benzafibrate,900,400,-1.384160455072433,Pharmaceutical
csq,benzafibrate,1200,400,-2.9803563701803064,Pharmaceutical
csq,benzafibrate,1500,400,5.410587712093896,Pharmaceutical
csq,carbamazepine,300,1200,-0.3402482010542158,Pharmaceutical
csq,carbamazepine,600,400,0.289859188181623,Pharmaceutical
csq,carbamazepine,900,400,-1.248442700472587,Pharmaceutical
csq,carbamazepine,1200,400,-9.080125215760807,Pharmaceutical
csq,carbamazepine,1500,400,-2.12209907686416,Pharmaceutical
csq,ciprofloxacin,300,1200,-9.145775259794677,Pharmaceutical
csq,ciprofloxacin,600,400,-0.5121418782769673,Pharmaceutical
csq,ciprofloxacin,900,400,-3.49000076080624,Pharmaceutical
csq,ciprofloxacin,1200,400,-3.0631813490852267,Pharmaceutical
csq,ciprofloxacin,1500,400,0.9756643205910044,Pharmaceutical
csq,clofibric-acid,300,1200,-0.5386729800098067,Pharmaceutical
csq,clofibric-acid,600,400,-2.999087528704454,Pharmaceutical
csq,clofibric-acid,900,400,-4.30320914726466,Pharmaceutical
csq,clofibric-acid,1200,400,-0.5635788322038167,Pharmaceutical
csq,clofibric-acid,1500,400,5.479770634490418,Pharmaceutical
csq,diclofenac,300,1200,2.659510762991175,Pharmaceutical
csq,diclofenac,600,400,-4.198440160929774,Pharmaceutical
csq,diclofenac,900,400,1.7353461468987632,Pharmaceutical
csq,diclofenac,1200,400,5.089855056419008,Pharmaceutical
csq,diclofenac,1500,400,-0.779548776715135,Pharmaceutical
csq,estrone,300,1200,1.4461583936300464,Pharmaceutical
csq,estrone,600,400,0.2356172670615279,Pharmaceutical
csq,estrone,900,400,-0.6313498581753905,Pharmaceutical
csq,estrone,1200,400,0.5976902485747893,Pharmaceutical
csq,estrone,1500,400,0.1502383245344383,Pharmaceutical
csq,gemfibrozil,300,1200,-8.410334125796652,Pharmaceutical
csq,gemfibrozil,600,400,-5.319517258381229,Pharmaceutical
csq,gemfibrozil,900,400,-5.334652787400266,Pharmaceutical
csq,gemfibrozil,1200,400,2.2605025722570566,Pharmaceutical
csq,gemfibrozil,1500,400,-8.15337526061768,Pharmaceutical
csq,ibuprofen,300,1200,0.1446534899771414,Pharmaceutical
csq,ibuprofen,600,400,0.0125815653968643,Pharmaceutical
csq,ibuprofen,900,400,-0.3167667956277817,Pharmaceutical
csq,ibuprofen,1200,400,0.3756334617932921,Pharmaceutical
csq,ibuprofen,1500,400,-9.55922871926365,Pharmaceutical
csq,ketoprofen,300,1200,2.916984185797624,Pharmaceutical
csq,ketoprofen,600,400,0.5269511026678657,Pharmaceutical
csq,ketoprofen,900,400,1.3534815156071431,Pharmaceutical
csq,ketoprofen,1200,400,-1.826134221326441,Pharmaceutical
csq,ketoprofen,1500,400,-0.1574672340018459,Pharmaceutical
csq,naproxen,300,1200,0.2703059922024238,Pharmaceutical
csq,naproxen,600,400,-3.415195353395241,Pharmaceutical
csq,naproxen,900,400,-8.363747820514423,Pharmaceutical
csq,naproxen,1200,400,-8.505546142213134,Pharmaceutical
csq,naproxen,1500,400,-5.30661566295683,Pharmaceutical
csq,oxypurinol,300,1200,0.8672055787507134,Pharmaceutical
csq,oxypurinol,600,400,-1.1410130740299245,Pharmaceutical
csq,oxypurinol,900,400,-3.691117555440844,Pharmaceutical
csq,oxypurinol,1200,400,-3.447298739200068,Pharmaceutical
csq,oxypurinol,1500,400,-1.0780487707891098,Pharmaceutical
csq,sulfadiazine,300,1200,-0.4898652911902132,Pharmaceutical
csq,sulfadiazine,600,400,-2.696558923726272,Pharmaceutical
csq,sulfadiazine,900,400,1.0035006422631767,Pharmaceutical
csq,sulfadiazine,1200,400,1.3580058591955932,Pharmaceutical
csq,sulfadiazine,1500,400,1.2927825218175428,Pharmaceutical
csq,sulfamethazine,300,1200,-1.7253122698100682,Pharmaceutical
csq,sulfamethazine,600,400,-0.4686115444724592,Pharmaceutical
csq,sulfamethazine,900,400,0.1818899037115748,Pharmaceutical
csq,sulfamethazine,1200,400,-8.603870605793112,Pharmaceutical
csq,sulfamethazine,1500,400,4.015916472762488,Pharmaceutical
csq,sulfamethoxazole,300,1200,5.484150650850708,Pharmaceutical
csq,sulfamethoxazole,600,400,-1.998780909975828,Pharmaceutical
csq,sulfamethoxazole,900,400,-0.4157815194919436,Pharmaceutical
csq,sulfamethoxazole,1200,400,-2.1681017984905004,Pharmaceutical
csq,sulfamethoxazole,1500,400,6.920168490906452,Pharmaceutical
csq,triclosan,300,1200,2.2751737443057536,Pharmaceutical
csq,triclosan,600,400,6.330108757912296,Pharmaceutical
csq,triclosan,900,400,-2.128825978761373,Pharmaceutical
csq,triclosan,1200,400,3.481698810312711,Pharmaceutical
csq,triclosan,1500,400,2.331285643935168,Pharmaceutical
csq,trimethoprim,300,1200,1.5623982534504393,Pharmaceutical
csq,trimethoprim,600,400,-3.260834291385585,Pharmaceutical
csq,trimethoprim,900,400,0.9807534228921037,Pharmaceutical
csq,trimethoprim,1200,400,-1.4431275228375924,Pharmaceutical
csq,trimethoprim,1500,400,-6.939935039999543,Pharmaceutical
scu,17-alpha-ethinylestradiol,300,1200,-0.5967678095914266,Pharmaceutical
scu,17-alpha-ethinylestradiol,600,400,3.516117706261568,Pharmaceutical
scu,17-alpha-ethinylestradiol,900,400,-0.7035573763000507,Pharmaceutical
scu,17-alpha-ethinylestradiol,1200,400,0.227459643546446,Pharmaceutical
scu,17-alpha-ethinylestradiol,1500,400,-2.1072584772587355,Pharmaceutical
scu,17-beta-estradiol,300,1200,0.00591741460644,Pharmaceutical
scu,17-beta-estradiol,600,400,0.1106738505273554,Pharmaceutical
scu,17-beta-estradiol,900,400,-0.3300386215228386,Pharmaceutical
scu,17-beta-estradiol,1200,400,-2.447613354941229,Pharmaceutical
scu,17-beta-estradiol,1500,400,2.517750091749648,Pharmaceutical
scu,acetaminophen,300,1200,-2.8676870395364524,Pharmaceutical
scu,acetaminophen,600,400,2.5959063999806453,Pharmaceutical
scu,acetaminophen,900,400,4.899719677899679,Pharmaceutical
scu,acetaminophen,1200,400,0.4387734676908152,Pharmaceutical
scu,acetaminophen,1500,400,-0.5905993911998877,Pharmaceutical
scu,atenolol,300,1200,-1.5914080177127232,Pharmaceutical
