host,guest,minBE
PCN-225,CBLA,-96.663
NU-902,CBGA,-94.571
NU-902,CBDA,-86.132
NU-902,CBNA,-78.554
NU-902,CBG,-77.832
PCN-225,CBDVA,-77.248
PCN-225,CBDA,-76.547
NU-902,CBCA,-74.306
PCN-225,Ciprofloxacin,-73.81910061
PCN-225,CBGA,-72.671
PCN-225,CBNA,-69.574
PCN-223,Bezafibrate,-69.39182029
NU-902,Gemfibrozil,-69.21675769
PCN-225,Bezafibrate,-69.11136747
NU-902,Bezafibrate,-69.01858391
PCN-225,Naproxen,-68.54837222
NU-902,CBLA,-68.274
NU-902,CBDVA,-68.163
PCN-225,d8-THC,-67.335
PCN-223,CBCA,-67.297
PCN-225,Oxypurinol,-65.11159681
PCN-225,CBCA,-64.908
PCN-225,CBDV,-64.593
PCN-223,CBNA,-64.128
NU-902,17-à-Ethinylestradiol,-63.91774116
PCN-225,CBC,-63.432
PCN-223,THCA,-63.404
NU-902,Ketoprofen,-62.88818633
NU-902,Atenolol,-62.39414182
PCN-223,Ciprofloxacin,-62.1977439
PCN-225,Ibuprofen,-62.14420479
PCN-223,CBGA,-62.072
NU-902,d9-THC,-62.034
PCN-225,CBG,-61.835
PCN-223,CBDA,-61.555
PCN-225,CBD,-61.539
PCN-225,Gemfibrozil,-61.1277398
PCN-225,CBN,-60.933
PCN-225,Diclofenac,-60.70455994
PCN-223,CBDVA,-60.478
PCN-225,Atenolol,-60.4688862
NU-902,Sulfamethazine,-60.45722707
PCN-225,Sulfamethazine,-60.00458565
PCN-225,THCA,-59.703
NU-902,Ciprofloxacin,-59.22411443
PCN-225,Sulfamethoxazole,-59.21805896
NU-902,THCA,-59.218
PCN-223,Acetaminophen,-58.95871556
PCN-223,Oxypurinol,-58.83662104
NU-902,CBD,-58.785
NU-902,Sulfadiazine,-58.66964076
PCN-225,d9-THC,-58.439
PCN-225,CBL,-58.067
NU-902,Clofibric acid,-57.47220203
NU-902,Naproxen,-57.13687351
PCN-223,CBLA,-56.99
PCN-225,17-à-Ethinylestradiol,-56.43655408
PCN-223,Sulfamethoxazole,-56.14958771
PCN-223,Naproxen,-55.92378469
PCN-223,CBL,-55.486
NU-902,CBDV,-54.982
NU-902,Sulfamethoxazole,-54.72975962
PCN-225,17-?-Estradiol,-54.44901814
PCN-223,d8-THC,-54.431
PCN-225,Triclosan,-54.170862
PCN-225,Acetaminophen,-54.06288017
PCN-223,Gemfibrozil,-54.03476147
NU-902,d8-THC,-53.975
NU-902,Trimethoprim,-53.83614216
NU-902,CBC,-53.77
PCN-225,Trimethoprim,-52.92334174
PCN-225,Sulfadiazine,-52.89638393
NU-902,CBL,-52.687
PCN-223,Atenolol,-52.57561363
PCN-223,CBG,-52.374
PCN-223,d9-THC,-52.281
MOF-545,Bezafibrate,-52.214
MOF-545,CBDV,-52.157
PCN-223,CBD,-52.11
NU-902,CBN,-51.293
PCN-223,CBN,-50.969
PCN-223,Sulfadiazine,-50.80144974
PCN-223,Ketoprofen,-50.63701088
MOF-545,CBLA,-50.351
MOF-545,THCA,-50.324
PCN-223,CBC,-50.011
MOF-545,Clofibric acid,-49.87
PCN-223,Clofibric acid,-49.6490913
NU-902,Oxypurinol,-49.45919437
PCN-223,CBDV,-49.242
NU-902,Triclosan,-49.01680645
NU-902,17-?-Estradiol,-48.78298386
PCN-225,Clofibric acid,-48.78012242
PCN-223,Triclosan,-48.4767404
PCN-223,Diclofenac,-48.11924196
PCN-225,Ketoprofen,-47.51331251
NU-902,Estrone,-47.48573347
PCN-223,Trimethoprim,-47.34305664
MOF-545,CBGA,-46.749
MOF-545,CBD,-46.487
MOF-545,Acetaminophen,-46.05
MOF-545,CBN,-45.656
MOF-545,CBL,-45.424
PCN-225,Estrone,-45.01483951
PCN-223,17-?-Estradiol,-44.86651509
MOF-545,Ciprofloxacin,-44.816
MOF-545,Estrone,-44.699
MOF-545,d9-THC,-44.553
PCN-223,Sulfamethazine,-44.32589683
MOF-545,17-?-Estradiol,-43.944
PCN-223,17-à-Ethinylestradiol,-43.46082479
MOF-545,17-à-Ethinylestradiol,-43.301
NU-902,Diclofenac,-43.26660432
NU-902,Acetaminophen,-43.18457628
PCN-225,Carbamazepine,-43.04369412
MOF-545,Gemfibrozil,-42.229
NU-902,Carbamazepine,-41.85999158
MOF-545,CBC,-41.859
MOF-545,Atenolol,-41.758
PCN-223,Carbamazepine,-41.27485779
MOF-545,Sulfamethoxazole,-40.297
MOF-545,Diclofenac,-40.271
PCN-223,Ibuprofen,-40.00398163
PCN-223,Estrone,-39.9011642
MOF-545,Trimethoprim,-39.869
MOF-545,Naproxen,-38.196
MOF-545,Oxypurinol,-37.416
MOF-545,Sulfadiazine,-37.273
MOF-545,Ketoprofen,-37.17
MOF-545,d8-THC,-36.801
MOF-545,Sulfamethazine,-36.394
MOF-545,Ibuprofen,-35.504
NU-902,Ibuprofen,-34.40888102
MOF-545,Triclosan,-34.088
MOF-545,CBG,-33.687
MOF-545,Carbamazepine,-33.673
